hotel_id,hotel_name,hotel_formerly_name,hotel_translated_name,addressline1,addressline2,zipcode,city,state,country,countryisocode,longitude,latitude
2798,Kings Hotel,,????????,60-62 Queensborough Terrace,,W23SH,????,,????,GB,-0.185156,51.511436
2863,Generator Hostel London,,??????????????????,"37 Tavistock Place, Russell Square",,WC1H 9SE,????,,????,GB,-0.124816,51.526012
2883,Edinburgh Marriott Hotel,Marriott (edinburgh - Glasgow Road),??????????????,111 Glasgow Road,,EH128NF,??????,Scotland,????,GB,-3.312155,55.940055
2943,The Rowton Hotel,,,145 Alcester Street,,B12 0PJ,??????,,????,GB,-1.884764,52.470647
3002,Holiday Inn Brentwood,,??????????????????,Brook Street,,CM14 5NF,??????,,????,GB,0.268897,51.610622
3006,Holiday Inn Chester South,,??????????????????,Wrexham Road,,CH4 9DL,??????,,????,GB,-2.910975,53.15875
3114,Holiday Inn Birmingham Airport,,??????????????????,Coventry Rd,,B26 3QW,??????,,????,GB,-1.75211,52.44728
3136,Holiday Inn - Glasgow - City Ctr Theatreland,,??????????????????????,161 West Nile Street,,G1 2RL,????????,,????,GB,-4.254104,55.865196
3141,Comfort Inn Westminster,,??????????????????,39 Belgrave Road,,SW1V 2BB,????,,????,GB,-0.139184,51.490845
3156,Britannia Leeds Hotel,Ramada Jarvis Hotel,??????????????,"Millgreen View Ring Road, West Yorkshire",,LS14 5QF,????,,????,GB,-1.457682,53.825603
3199,Hallmark Hotel Preston Leyland,,????????????????????????,Leyland Way,,PR25 4JX,????,"North West,?England",????,GB,-2.680188,53.695699
3315,Holiday Inn Royal Victoria Sheffield,,????????????????????????????,Victoria Station Road,,S4 7YE,????????,,????,GB,-1.45954,53.38717
3330,Mercure Inverness Hotel,Ramada Jarvis,????????????????,33 Church St.,,IV1 1DX,????????,,????,GB,-4.2267,57.4784
3440,Grand Harbour Hotel,,????????,West Quay Road,,SO15 1AG,????????,,????,GB,-1.407405,50.899672
3473,Rydges Kensington London,,Rydges Kensington London,"GLOUCESTER ROAD,61",,SW7 4PE,????,,????,GB,-0.182839,51.495594
3491,Caesar Hotel,,????????,26-33 Queens Gardens,,,????,,????,GB,-0.182559,51.5137
3525,Macdonald Compleat Angler Hotel,,??????????????????????????,Marlow Bridge,,SL7 1RG,????????????????,"South East,?England",????,GB,-0.77223,51.56703
3527,Marriott Glasgow Hotel,,????????????????,"500 Argyle Street, Anderston",,G38RR,????????,Scotland,????,GB,-4.267373,55.859442
3560,Hallmark Hotel Gloucester,Ramada Jarvis And Resort,????????????????????,M,,GL4 6E,????????,Gloucestershire,????,GB,-2.219909,51.835495
3631,Norfolk Towers Paddington Hotel,,??????????????,34 Norfolk Place,,,????,,????,GB,-0.171935,51.516321
